,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_person,search_vehicle,reason_for_search,reason_for_stop
2314706,42.0,white,male,True,False,False,False,True,False,incarrest,------(a-)
2314712,35.0,hispanic,male,True,False,False,False,True,True,other,------(a)
2314731,21.0,black,male,False,True,False,False,True,True,prob,------.-
2314744,33.0,black,male,False,False,True,False,True,True,k-,------.-
2314804,35.0,white,male,True,False,False,False,True,False,incarrest,------(b)
2314849,25.0,hispanic,male,False,True,False,False,True,False,incarrest,------(e)
2314871,22.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a-)
2314886,28.0,white,male,True,False,False,True,True,True,incarrest,------.-
2314887,20.0,black,female,True,False,False,True,True,False,incarrest,------.-
2314888,26.0,black,female,True,False,False,True,True,True,incarrest,------(a-)
2314905,19.0,hispanic,male,True,False,False,True,True,True,prob,------(c-)
2314906,32.0,white,male,False,False,True,False,True,True,cons,------.-
2314907,23.0,white,male,True,False,False,False,True,True,incarrest,------(a)
2314920,28.0,white,male,True,False,False,False,True,True,incarrest,------(c)
2314921,44.0,white,male,False,False,False,False,True,True,k-,--*
2314948,56.0,white,male,True,False,False,False,True,True,incarrest,------(h)
2314949,28.0,hispanic,male,True,False,False,False,True,True,incarrest,------(m)
2314972,26.0,white,male,True,False,False,True,True,True,prob,------(d)
2314973,27.0,white,male,False,True,False,False,True,True,incarrest,------(a)
2314991,47.0,black,male,True,False,False,False,True,True,cons,------(a)
2315024,18.0,hispanic,male,True,False,False,False,True,False,incarrest,------(g)
2315035,30.0,white,female,True,False,False,False,True,True,incarrest,------(h-)
2315051,21.0,black,female,True,False,False,False,True,True,exigent,------(a)
2315095,19.0,black,male,False,False,True,False,True,True,k-,------(a)
2315122,24.0,white,male,True,False,False,False,True,True,incarrest,------(c)
2315136,47.0,white,female,True,False,False,False,True,True,incarrest,------(a)
2315137,28.0,black,male,True,False,False,False,True,True,incarrest,-------(b)
2315148,42.0,black,male,True,False,False,False,True,True,incarrest,------.-(c)
2315149,32.0,other,female,False,True,False,False,False,True,cons,------(f)
2315150,26.0,white,female,True,False,False,False,True,True,k-,------.-
2315151,55.0,white,male,True,False,False,False,True,True,incarrest,------.-(b)
2315168,21.0,white,male,False,True,False,False,False,True,cons,------(d)
2315169,21.0,hispanic,male,True,False,False,False,True,True,incarrest,------.-
2315170,30.0,hispanic,male,True,False,False,True,True,False,incarrest,------(d)
2315171,38.0,white,male,False,True,False,False,True,True,cons,------(a)
2315178,20.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a-)
2315198,21.0,white,male,True,False,False,True,True,True,exigent,------(a)
2315199,42.0,white,male,True,False,False,False,True,True,incarrest,------.-(f-)
2315206,32.0,white,female,True,False,False,False,False,True,k-,--
2315207,60.0,white,female,True,False,False,False,True,True,incarrest,------.-
2315214,42.0,white,male,False,True,False,False,True,True,cons,------(a)
2315231,28.0,white,male,False,False,True,False,True,True,cons,------(c)
2315235,20.0,white,male,True,False,False,False,True,True,cons,------(a-)
2315236,32.0,white,female,True,False,False,False,True,True,incarrest,------(f)
2315245,65.0,white,male,True,False,False,True,True,True,incarrest,------(a-)
2315269,34.0,black,male,False,False,True,False,True,True,k-,------(a)
2315270,18.0,black,male,False,False,True,False,True,False,cons,------.-
2315271,18.0,black,male,False,False,True,False,True,True,cons,-----
2315272,25.0,black,male,False,True,False,False,True,True,k-,------(c)
2315312,25.0,white,female,False,True,False,False,True,True,cons,------(a)
2315324,34.0,black,female,True,False,False,True,True,False,incarrest,------.-
2315325,19.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a)
2315352,45.0,white,female,True,False,False,True,True,True,cons,-------(d)
2315353,41.0,white,male,False,False,False,False,True,True,k-,--*
2315361,27.0,white,male,True,False,False,False,True,True,incarrest,------(a)
2315384,27.0,black,female,True,False,False,False,False,True,incarrest,------.-
2315385,65.0,white,male,True,False,False,False,True,True,prob,-----(b)
2315390,54.0,white,female,True,False,False,False,True,True,incarrest,------.-
2315466,27.0,white,female,False,False,True,False,False,True,prob,------(c)
2315491,28.0,white,male,False,False,True,False,True,True,cons,------(a-)
2315536,25.0,hispanic,male,True,False,False,False,True,False,incarrest,--
2315548,32.0,white,male,True,False,False,False,False,True,incarrest,------.-(b)
2315549,28.0,other,male,False,True,False,False,True,True,prob,------(a-)
2315550,32.0,white,male,True,False,False,False,True,True,incarrest,------(c)
2315652,27.0,black,male,True,False,False,True,True,True,prob,------(i)
2315735,43.0,white,male,True,False,False,False,True,False,incarrest,------(b)
2315743,49.0,black,male,True,False,False,True,True,False,incarrest,------(a)
2315843,36.0,white,male,True,False,False,True,True,True,other,------(h)
2315844,32.0,black,female,True,False,False,True,True,True,prob,------(a-)
2315861,33.0,black,male,True,False,False,False,True,True,incarrest,------.-
2315876,48.0,black,male,False,True,False,False,True,True,prob,------(b)
2315877,21.0,black,male,True,False,False,False,True,False,incarrest,--
2315878,23.0,other,male,True,False,False,False,True,False,incarrest,------(f)
2315936,33.0,white,male,True,False,False,False,True,True,incarrest,--
2315937,17.0,white,male,True,False,False,True,True,True,prob,------(a)
2315938,33.0,white,male,True,False,False,False,True,True,incarrest,----h
2315953,35.0,hispanic,male,True,False,False,False,True,False,incarrest,------(a)
2315962,26.0,white,male,False,False,True,False,True,True,cons,------.-
2315979,25.0,other,male,False,False,True,False,False,True,cons,------.-
