,subject_age,subject_race,subject_sex,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_stop,reason_for_search
4490,23.0,black,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4500,22.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4524,22.0,hispanic,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4527,19.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4535,19.0,white,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
4536,26.0,white,male,False,True,True,False,PRE-EXISTING KNOWLEDGE,FRISK FOR SAFETY
4568,31.0,white,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4576,26.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4577,45.0,black,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4595,29.0,hispanic,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4624,18.0,white,male,False,False,True,True,CALL FOR SERVICE,PROBABLE CAUSE
4630,19.0,black,male,False,False,True,False,VIOLATION OF CITY ORDINANCE,PROBABLE CAUSE
4646,39.0,black,male,True,True,True,True,OTHER,FRISK FOR SAFETY
4670,19.0,black,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4675,49.0,hispanic,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4677,28.0,hispanic,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4678,34.0,hispanic,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4712,19.0,hispanic,male,False,True,True,True,CONSENSUAL CONTACT,FRISK FOR SAFETY
4715,42.0,white,male,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4717,50.0,white,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4719,22.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4741,25.0,white,male,False,True,True,False,PRE-EXISTING KNOWLEDGE,FRISK FOR SAFETY
4746,44.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4747,69.0,hispanic,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4757,29.0,black,male,True,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
4822,52.0,black,male,False,False,True,True,SUSPICIOUS PERSON / VEHICLE,PROBABLE CAUSE
4832,26.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4859,27.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4928,27.0,white,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4929,36.0,white,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4938,19.0,black,male,True,True,True,True,VIOLATION OF PENAL CODE,FRISK FOR SAFETY
4943,33.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4963,24.0,black,male,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4998,28.0,hispanic,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
5188,22.0,white,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
5227,25.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5348,19.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5407,30.0,white,male,False,False,True,False,OTHER,PROBABLE CAUSE
5408,41.0,black,male,False,False,True,False,OTHER,PROBABLE CAUSE
5446,26.0,black,male,True,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5448,25.0,black,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
5505,26.0,black,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
5534,20.0,black,male,True,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
5535,18.0,black,male,True,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
5565,24.0,white,female,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
5605,40.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
5622,22.0,hispanic,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
5638,32.0,hispanic,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
5641,26.0,black,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5642,25.0,black,male,False,False,True,True,CALL FOR SERVICE,PROBABLE CAUSE
5669,43.0,hispanic,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
5702,19.0,white,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5706,49.0,white,male,False,True,True,False,OTHER,FRISK FOR SAFETY
5721,17.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5722,16.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5726,20.0,hispanic,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
5745,21.0,white,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
5816,18.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
5861,47.0,white,female,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,INCIDENTAL TO ARREST
6009,39.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
6314,47.0,hispanic,male,True,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
6353,30.0,white,male,False,True,True,False,PRE-EXISTING KNOWLEDGE,FRISK FOR SAFETY
6393,19.0,asian/pacific islander,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
6407,40.0,white,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
6422,36.0,black,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
6514,40.0,white,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
6515,23.0,hispanic,female,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
6531,52.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
